epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3402,1.85689,3.92874,1.3806,6e-05,0.00628,3e-05,1e-05,nan,nan,nan,0.000909,0.000909,0.000909
2,24.6188,1.48674,1.20697,1.15859,5e-05,0.00117,3e-05,1e-05,3.55136,4.66823,7.61329,0.000908778,0.000908778,0.000908778
3,28.8234,1.39639,1.03846,1.09626,0.31856,0.18177,0.13143,0.06358,1.29027,1.26966,1.01966,0.000908112,0.000908112,0.000908112
4,33.0732,1.37651,0.99265,1.08347,0.36559,0.2069,0.16002,0.07856,1.24733,1.36273,0.98658,0.000907003,0.000907003,0.000907003
5,37.2557,1.34867,0.9572,1.07378,0.50145,0.197,0.18816,0.09563,1.2333,0.95607,0.96899,0.000905452,0.000905452,0.000905452
6,41.4818,1.33438,0.9213,1.05811,0.33695,0.22611,0.2206,0.11592,1.1973,0.87665,0.95243,0.00090346,0.00090346,0.00090346
7,45.9289,1.31285,0.91013,1.06621,0.29366,0.22763,0.19286,0.10074,1.2222,0.97241,0.96314,0.00090103,0.00090103,0.00090103
8,50.0814,1.3259,0.90755,1.06343,0.37328,0.22151,0.22192,0.11082,1.19196,0.96551,0.94356,0.000898164,0.000898164,0.000898164
9,54.23,1.29425,0.87445,1.04466,0.32798,0.24358,0.22925,0.11487,1.19691,0.83855,0.95063,0.000894864,0.000894864,0.000894864
10,58.3595,1.29488,0.85635,1.04122,0.30061,0.23103,0.24175,0.12583,1.17945,0.79197,0.93043,0.000891134,0.000891134,0.000891134
11,62.6462,1.294,0.85783,1.0294,0.38026,0.23923,0.23539,0.12098,1.17515,0.83139,0.94333,0.000886978,0.000886978,0.000886978
12,66.8764,1.28738,0.85838,1.03929,0.305,0.28562,0.24578,0.13207,1.1512,0.79047,0.93315,0.000882399,0.000882399,0.000882399
13,71.3678,1.27601,0.86819,1.04153,0.35478,0.2747,0.24407,0.13047,1.17484,0.75778,0.93356,0.000877403,0.000877403,0.000877403
14,75.7237,1.25766,0.81672,1.01357,0.50517,0.24461,0.25855,0.13813,1.14672,0.74971,0.92393,0.000871993,0.000871993,0.000871993
15,79.8972,1.26233,0.81635,1.02591,0.36168,0.29923,0.27226,0.14478,1.15391,0.72331,0.93027,0.000866176,0.000866176,0.000866176
16,84.0715,1.24646,0.81012,1.02712,0.60373,0.26131,0.25647,0.14102,1.16616,0.74684,0.92406,0.000859958,0.000859958,0.000859958
17,88.5095,1.23647,0.80416,1.01141,0.45678,0.29387,0.26461,0.14437,1.14832,0.7165,0.91741,0.000853344,0.000853344,0.000853344
18,92.6128,1.29029,0.83297,1.02552,0.42469,0.25742,0.284,0.15981,1.12404,0.70442,0.90831,0.00084634,0.00084634,0.00084634
19,96.9577,1.23859,0.8172,1.01432,0.45355,0.25833,0.24063,0.13284,1.13788,0.74845,0.9125,0.000838955,0.000838955,0.000838955
20,101.28,1.26962,0.82907,1.02891,0.52745,0.27182,0.2776,0.15491,1.13029,0.70922,0.91578,0.000831194,0.000831194,0.000831194
21,105.376,1.24383,0.80277,1.01916,0.46189,0.31403,0.26059,0.14305,1.12437,0.70726,0.91282,0.000823066,0.000823066,0.000823066
22,109.56,1.25456,0.8133,1.01966,0.54883,0.26365,0.26628,0.14849,1.1453,0.72938,0.91595,0.000814579,0.000814579,0.000814579
23,113.782,1.25164,0.77026,1.01533,0.51022,0.28594,0.2856,0.16393,1.13314,0.70803,0.91203,0.000805741,0.000805741,0.000805741
24,118.068,1.24704,0.77317,1.0097,0.55814,0.24267,0.2726,0.15178,1.13244,0.70882,0.91331,0.000796561,0.000796561,0.000796561
25,122.268,1.2334,0.77552,1.00644,0.61947,0.24859,0.26738,0.14585,1.12884,0.71335,0.91834,0.000787048,0.000787048,0.000787048
26,126.492,1.21314,0.77039,1.00082,0.45495,0.2715,0.28226,0.15229,1.11507,0.71053,0.90691,0.000777211,0.000777211,0.000777211
27,131.042,1.21149,0.75656,1.00021,0.4122,0.27176,0.2876,0.15711,1.11659,0.69469,0.90663,0.00076706,0.00076706,0.00076706
28,135.347,1.20344,0.75573,1.01019,0.56346,0.29457,0.29191,0.15734,1.10624,0.69199,0.89919,0.000756606,0.000756606,0.000756606
29,139.526,1.2137,0.75211,1.00501,0.46434,0.26526,0.28772,0.15689,1.12462,0.69319,0.90718,0.000745857,0.000745857,0.000745857
30,143.896,1.22368,0.75882,1.00038,0.5952,0.28731,0.30084,0.16868,1.11717,0.67608,0.90448,0.000734826,0.000734826,0.000734826
31,148.111,1.2256,0.74683,0.99563,0.49294,0.31803,0.29178,0.16273,1.11444,0.6828,0.90764,0.000723522,0.000723522,0.000723522
32,152.17,1.21495,0.7234,0.98698,0.47098,0.30204,0.26982,0.15184,1.10202,0.68559,0.90098,0.000711957,0.000711957,0.000711957
33,156.591,1.20241,0.71538,0.98653,0.52535,0.29356,0.28781,0.15814,1.11399,0.68087,0.90352,0.000700143,0.000700143,0.000700143
34,160.897,1.19377,0.71962,0.98983,0.53554,0.2958,0.28162,0.1532,1.10746,0.67737,0.89866,0.000688091,0.000688091,0.000688091
35,164.955,1.19077,0.72395,0.98,0.57464,0.29434,0.31782,0.17692,1.1075,0.6641,0.90266,0.000675812,0.000675812,0.000675812
36,169.192,1.18778,0.71926,0.98793,0.50203,0.31657,0.3161,0.17818,1.10411,0.67023,0.90013,0.00066332,0.00066332,0.00066332
37,173.665,1.17513,0.72153,0.98453,0.58321,0.29707,0.30658,0.17613,1.10389,0.66848,0.89617,0.000650627,0.000650627,0.000650627
38,177.781,1.17955,0.70856,0.98924,0.49385,0.30684,0.30627,0.17215,1.10083,0.67014,0.90239,0.000637744,0.000637744,0.000637744
39,181.853,1.19476,0.71566,0.98888,0.58918,0.28707,0.30782,0.17451,1.09901,0.65425,0.89996,0.000624684,0.000624684,0.000624684
40,186.237,1.16287,0.69985,0.97959,0.5223,0.30666,0.3082,0.17497,1.10205,0.65483,0.90023,0.000611462,0.000611462,0.000611462
41,190.366,1.16981,0.70201,0.9884,0.48527,0.31246,0.29008,0.16309,1.10574,0.66588,0.89946,0.000598089,0.000598089,0.000598089
42,194.426,1.16057,0.69804,0.98528,0.50517,0.29618,0.29637,0.16885,1.08686,0.65103,0.89671,0.000584578,0.000584578,0.000584578
43,198.563,1.14317,0.68783,0.96941,0.56952,0.30974,0.30302,0.16665,1.09407,0.64983,0.89713,0.000570944,0.000570944,0.000570944
